"DATA","MAQUINA","INICIO","FIM","COD_MOTIVO","DESC","GRUPO","OBS"
"2025-11-07","Conformadora de Telhas","11:50","12:10","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","12:10","13:10","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-07","Conformadora de Telhas","13:10","14:10","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","14:10","14:30","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","14:30","14:50","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","14:50","15:15","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","15:15","15:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-07","Conformadora de Telhas","15:30","15:50","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","15:50","16:20","IN024","Aguardando equipamento compartilhado","IND",""
"2025-11-07","Conformadora de Telhas","16:20","16:30","TU001","Produção","TU",""
"2025-11-07","Conformadora de Telhas","16:30","16:50","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","10:00","15:00","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","10:00","15:00","TU001","Produção","TU","Sergio"
"2025-11-10","Conformadora de Telhas","15:00","22:00","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","10:00","15:00","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","15:00","22:00","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","07:30","08:20","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","08:20","08:30","IN024","Aguardando equipamento compartilhado","IND",""
"2025-11-10","Conformadora de Telhas","08:30","08:40","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","08:40","09:10","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-10","Conformadora de Telhas","09:10","09:30","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","09:40","10:30","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","13:30","13:40","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","13:40","14:00","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","14:00","14:20","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","14:20","15:15","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","15:15","15:30","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","15:30","15:50","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","15:50","16:40","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","16:40","17:33","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","06:30","07:30","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","10:30","11:10","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","11:10","11:50","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","11:50","12:10","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","12:10","13:10","TU001","Produção","TU",""
"2025-11-10","Conformadora de Telhas","13:10","13:30","TU001","Produção","TU",""
"2025-11-10","Conformadora","16:30","17:33","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","06:40","07:20","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Conformadora de Telhas","07:20","09:20","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","09:20","10:00","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","10:00","11:10","TU001","Produção","TU",""
"2025-11-11","Conformadora de Telhas","11:10","11:50","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Conformadora de Telhas","11:50","12:10","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","08:40","09:20","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" Marafon","09:20","09:25","RE007","Regulagem-Problema de Processo","RET",""
"2025-11-11","Perfil ""U"" Marafon","09:25","09:44","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","09:44","10:22","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" Marafon","10:22","10:27","RE007","Regulagem-Problema de Processo","RET",""
"2025-11-11","Perfil ""U"" Marafon","10:27","11:00","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","11:00","12:00","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Perfil ""U"" Marafon","12:00","12:40","TU002","Carregamento de bobina/matéria prima","IND",""
