"DATA","MAQUINA","CODIGO","QTD","DESCRICAO","DESTINO","COMP","PESO_TOTAL"
"2026-02-27","Prensa Debrum 03","81055","546","CACAMBA M 60 SUPER","Estoque","",""
"2026-02-27","Rodadeira 01","81055","200","CACAMBA M 60 SUPER","Estoque","",""
"2026-02-27","Rodadeira 01","81058","200","CACAMBA M 75 PLUS","Estoque","",""
"2026-02-27","Rodadeira 03","81667","1000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-27","Perfil ""U"" ZL","00676k","408","PERFIL UE 150X60X20X1,95 GALV","Estoque","",""
"2026-02-27","Rodadeira 01","81667","1331","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-27","Prensa Estampa 09","81053","999","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-02-25","Perfil ""U"" ZL","00668a","449","PERFIL UE 50X25X10X1,80","Estoque","",""
"2026-03-02","Prensa Estampa 04","81627","670","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-24","Perfil ""U"" BR200 Regiane","00652k","90","PERFIL US 68X30X1,95 GALV","Estoque","",""
"2026-02-23","Perfil ""U"" BR200 Regiane","00652k","196","PERFIL US 68X30X1,95 GALV","Estoque","",""
"2026-02-06","Perfil ""U"" Marafon","00670k","400","PERFIL UE 75X40X15X1,95 GALV","Estoque","",""
"2026-02-05","Perfil ""U"" Marafon","00670k","649","PERFIL UE 75X40X15X1,95 GALV","Estoque","",""
"2026-02-26","Rodadeira 02","81058","168","CACAMBA M 75 PLUS","Estoque","",""
"2026-02-26","Rodadeira 02","81055","536","CACAMBA M 60 SUPER","Estoque","",""
"2026-02-26","Rodadeira 02","81058","250","CACAMBA M 75 PLUS","Estoque","",""
"2026-02-26","Rodadeira 02","81055","519","CACAMBA M 60 SUPER","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02008","100","TELHA GALVALUME TP 40 0,43MM 8,00M","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02006","70","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02000","200","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-03-05","Perf. Telha Trapezoidal Marafon","02004","15","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-02-24","Rodadeira 02","81055","451","CACAMBA M 60 SUPER","Estoque","",""
"2026-02-24","Rodadeira 02","81058","400","CACAMBA M 75 PLUS","Estoque","",""
"2026-02-25","Rodadeira 02","81058","653","CACAMBA M 75 PLUS","Estoque","",""
"2026-02-05","Perfil ""U"" ZL","00653b","450","PERFIL US 75X40X2,00","Estoque","",""
"2026-02-05","Perfil ""U"" ZL","00653A","451","PERFIL US 75X40X1,80","Estoque","",""
"2026-02-05","Perfil ""U"" ZL","00653K","100","PERFIL US 75X40X1,95 GALV","Estoque","",""
"2026-02-05","Perfil ""U"" BR200 Regiane","00654b","226","PERFIL US 92X30X2,00","Estoque","",""
"2026-02-04","Perfil ""U"" ZL","00653k","140","PERFIL US 75X40X1,95 GALV","Estoque","",""
"2026-02-04","Perfil ""U"" Marafon","00670k","792","PERFIL UE 75X40X15X1,95 GALV","Estoque","",""
"2026-02-04","Perfil ""U"" BR200 Regiane","00654k","138","PERFIL US 92X30X1,95 GALV","Estoque","",""
"2026-02-03","Perfil ""U"" Marafon","00670k","923","PERFIL UE 75X40X15X1,95 GALV","Estoque","",""
